code,date,close,slope_standard
159619,2023-07-17,1.015,0.025532972644480165
159619,2023-07-18,1.013,0.024269580752561772
159619,2023-07-19,1.016,0.020066252887167443
159619,2023-07-20,1.004,-0.010561835959987774
159619,2023-07-21,1.0,-0.025103328290509604
159619,2023-07-24,1.005,-0.036505257234859555
159619,2023-07-25,1.033,-0.028292620266760923
159619,2023-07-26,1.027,-0.022479256954823525
159619,2023-07-27,1.018,-0.014375970916475526
159619,2023-07-28,1.034,-0.0019868556182521526
159619,2023-07-31,1.061,0.02636545016461786
159619,2023-08-01,1.057,0.042427138679374844
159620,2023-07-05,0.945,-0.034332612534121024
159620,2023-07-06,0.939,-0.046518043025897134
159620,2023-07-07,0.937,-0.05630028151240745
159620,2023-07-10,0.934,-0.06530028885097475
159620,2023-07-11,0.943,-0.06802264652768994
159620,2023-07-12,0.935,-0.07470907923175922
159620,2023-07-13,0.943,-0.07196694434637567
159620,2023-07-14,0.94,-0.06539707588313569
159620,2023-07-17,0.936,-0.05940683127412583
159620,2023-07-18,0.939,-0.05063992665103545
159620,2023-07-19,1.028,-0.004432165178193033
159620,2023-07-20,0.926,-0.02615812664352918
159620,2023-07-21,0.92,-0.046533017238726486
159620,2023-07-24,0.916,-0.06773989422997083
159620,2023-07-25,0.928,-0.0793205248282332
159620,2023-07-26,0.924,-0.08604730682742089
159620,2023-07-27,0.918,-0.0909777720407003
159620,2023-07-28,0.927,-0.08898464725538219
159620,2023-07-31,0.93,-0.08851754066789827
159620,2023-08-01,0.929,-0.09120108253328017
159621,2023-07-05,0.957,-0.04997811821173354
159621,2023-07-06,0.949,-0.060974864272806975
159621,2023-07-07,0.947,-0.07128470751176975
159621,2023-07-10,0.95,-0.07866417927568925
159621,2023-07-11,0.956,-0.08054160330173855
159621,2023-07-12,0.95,-0.08450025684052619
159621,2023-07-13,0.963,-0.07357583438314635
159621,2023-07-14,0.964,-0.05739826002041645
159621,2023-07-17,0.956,-0.04829375635051771
159621,2023-07-18,0.955,-0.040532063695487695
159621,2023-07-19,0.954,-0.03867901027151369
159621,2023-07-20,0.947,-0.04799739713702109
159621,2023-07-21,0.948,-0.05320196532067051
159621,2023-07-24,0.945,-0.06041091749929767
159621,2023-07-25,0.968,-0.057579527917341326
159621,2023-07-26,0.967,-0.05323927049836528
159621,2023-07-27,0.966,-0.044151770015476335
159621,2023-07-28,0.989,-0.02423705718536083
159621,2023-07-31,0.994,-0.005723568222339457
159621,2023-08-01,0.987,0.002479036887358544
159622,2023-07-05,0.905,-0.17496348161876976
159622,2023-07-06,0.888,-0.17496838200975812
159622,2023-07-07,0.887,-0.17092229099043002
159622,2023-07-10,0.888,-0.16730248589595778
159622,2023-07-11,0.893,-0.16209535176497875
159622,2023-07-12,0.884,-0.15850446285781755
159622,2023-07-13,0.909,-0.14475669505889635
159622,2023-07-14,0.91,-0.12580270892501916
159622,2023-07-17,0.896,-0.1124230537444631
159622,2023-07-18,0.899,-0.10428001634377031
159622,2023-07-19,0.892,-0.10532181797273732
159622,2023-07-20,0.889,-0.10766771592914326
159622,2023-07-21,0.904,-0.10612747633637123
159622,2023-07-24,0.908,-0.10648862483808784
159622,2023-07-25,0.918,-0.10584098412959222
159622,2023-07-26,0.932,-0.09969294047151885
159622,2023-07-27,0.933,-0.09299332838748306
159622,2023-07-28,0.955,-0.0746110994846399
159622,2023-07-31,0.939,-0.06482174302724192
159622,2023-08-01,0.937,-0.061833074416359775
159623,2023-07-05,0.879,-0.035576064502346676
159623,2023-07-06,0.87,-0.0503936785624089
159623,2023-07-07,0.865,-0.06506525732359303
159623,2023-07-10,0.875,-0.07198063302048743
159623,2023-07-11,0.878,-0.07662035464711996
159623,2023-07-12,0.873,-0.07912700169928198
159623,2023-07-13,0.889,-0.0669241922076588
159623,2023-07-14,0.885,-0.05040254017387401
159623,2023-07-17,0.877,-0.04033306816534679
159623,2023-07-18,0.879,-0.02981495335323679
159623,2023-07-19,0.873,-0.03007296862234784
159623,2023-07-20,0.87,-0.04128430525875329
159623,2023-07-21,0.867,-0.04827366367588032
159623,2023-07-24,0.861,-0.05862017179316803
159623,2023-07-25,0.886,-0.05778350399008867
159623,2023-07-26,0.884,-0.05336268796106098
159623,2023-07-27,0.884,-0.04531854642401271
159623,2023-07-28,0.897,-0.028788187235375146
159623,2023-07-31,0.905,-0.013359471636081942
159623,2023-08-01,0.898,-0.008420771263294248
159625,2023-07-05,1.098,-0.023508134397654853
159625,2023-07-06,1.093,-0.023502054629584643
159625,2023-07-07,1.097,-0.009647160452530962
159625,2023-07-10,1.104,-0.0015639285431592507
159625,2023-07-11,1.101,-0.0007601462265701001
159625,2023-07-12,1.099,-0.010179399960516231
159625,2023-07-13,1.104,-0.013692144783551812
159625,2023-07-14,1.096,-0.02413731381509994
159625,2023-07-17,1.095,-0.0334605349121908
159625,2023-07-18,1.089,-0.051566875747143595
159625,2023-07-19,1.088,-0.0721368642016711
159625,2023-07-20,1.081,-0.09006323629066186
159625,2023-07-21,1.08,-0.1057651452197833
159625,2023-07-24,1.08,-0.11022037771852604
159625,2023-07-25,1.079,-0.11634121763868968
159625,2023-07-26,1.079,-0.12441414170238305
159625,2023-07-27,1.075,-0.12708504486152308
159625,2023-07-28,1.082,-0.12683756100614632
159625,2023-07-31,1.09,-0.12120675265911221
159625,2023-08-01,1.102,-0.11111277053531889
159627,2023-07-05,1.022,-0.07189587050295088
159627,2023-07-06,1.014,-0.08305494431321057
159627,2023-07-07,1.009,-0.09605095341116136
159627,2023-07-10,1.017,-0.10279116589619122
159627,2023-07-11,1.021,-0.10872172635074932
159627,2023-07-12,1.016,-0.1145812976186287
159627,2023-07-13,1.032,-0.10532026303710752
159627,2023-07-14,1.034,-0.09096355263374487
159627,2023-07-17,1.025,-0.08292546795329649
159627,2023-07-18,1.024,-0.07481509429210326
159627,2023-07-19,1.022,-0.07369256609880015
159627,2023-07-20,1.017,-0.08051345719268137
159627,2023-07-21,1.017,-0.08293591461426669
159627,2023-07-24,1.01,-0.08827881457123174
159627,2023-07-25,1.039,-0.08351848969461026
159627,2023-07-26,1.039,-0.07717749842157945
159627,2023-07-27,1.036,-0.06976288952595175
159627,2023-07-28,1.058,-0.051787646114169944
159627,2023-07-31,1.068,-0.034354723501488514
159627,2023-08-01,1.061,-0.026309992156007295
159628,2023-07-05,1.027,-0.0421169449761795
159628,2023-07-06,1.026,-0.051803982021939324
159628,2023-07-07,1.023,-0.05948209165796211
159628,2023-07-10,1.021,-0.06565052475519682
159628,2023-07-11,1.031,-0.06396786837744549
159628,2023-07-12,1.017,-0.07122890525472535
159628,2023-07-13,1.026,-0.06943419136916616
159628,2023-07-14,1.026,-0.06173813534192729
159628,2023-07-17,1.024,-0.05280273513338405
