code,name,date,close,scale,type,slope_standard
159605,广发海外中国互联网30(QDII-ETF)行情,2023-07-17,0.797,60.64,QDII,0.033906098309279736
159605,广发海外中国互联网30(QDII-ETF)行情,2023-07-18,0.793,60.64,QDII,0.06514442239738323
159605,广发海外中国互联网30(QDII-ETF)行情,2023-07-19,0.792,60.64,QDII,0.07470842349748805
159605,广发海外中国互联网30(QDII-ETF)行情,2023-07-20,0.785,60.64,QDII,0.06717435561033314
159605,广发海外中国互联网30(QDII-ETF)行情,2023-07-21,0.789,60.64,QDII,0.07396218959869022
159605,广发海外中国互联网30(QDII-ETF)行情,2023-07-24,0.772,60.64,QDII,0.0674408741208855
159605,广发海外中国互联网30(QDII-ETF)行情,2023-07-25,0.817,60.64,QDII,0.08072351999147725
159606,易方达中证500质量成长ETF行情,2023-06-28,0.81,5.41,指数型-股票,-0.01728813705940207
159606,易方达中证500质量成长ETF行情,2023-06-29,0.813,5.41,指数型-股票,-0.019854709982553422
159606,易方达中证500质量成长ETF行情,2023-06-30,0.819,5.41,指数型-股票,-0.010826965967413903
159606,易方达中证500质量成长ETF行情,2023-07-03,0.82,5.41,指数型-股票,-0.0036096433486195252
159606,易方达中证500质量成长ETF行情,2023-07-04,0.82,5.41,指数型-股票,-0.00593003377302351
159606,易方达中证500质量成长ETF行情,2023-07-05,0.816,5.41,指数型-股票,-0.016183282057245587
159606,易方达中证500质量成长ETF行情,2023-07-06,0.81,5.41,指数型-股票,-0.030546882246517484
159606,易方达中证500质量成长ETF行情,2023-07-07,0.809,5.41,指数型-股票,-0.04126981937691321
159606,易方达中证500质量成长ETF行情,2023-07-10,0.811,5.41,指数型-股票,-0.046444939889393404
159606,易方达中证500质量成长ETF行情,2023-07-11,0.816,5.41,指数型-股票,-0.04749328989395461
159606,易方达中证500质量成长ETF行情,2023-07-12,0.81,5.41,指数型-股票,-0.05140294458043028
159606,易方达中证500质量成长ETF行情,2023-07-13,0.821,5.41,指数型-股票,-0.04074950581180004
159606,易方达中证500质量成长ETF行情,2023-07-14,0.814,5.41,指数型-股票,-0.03165018973239497
159606,易方达中证500质量成长ETF行情,2023-07-17,0.814,5.41,指数型-股票,-0.02378783620755184
159606,易方达中证500质量成长ETF行情,2023-07-18,0.813,5.41,指数型-股票,-0.018842051926246193
159606,易方达中证500质量成长ETF行情,2023-07-19,0.811,5.41,指数型-股票,-0.022297540600501483
159606,易方达中证500质量成长ETF行情,2023-07-20,0.806,5.41,指数型-股票,-0.03913296124912185
159606,易方达中证500质量成长ETF行情,2023-07-21,0.805,5.41,指数型-股票,-0.04822688205141123
159606,易方达中证500质量成长ETF行情,2023-07-24,0.802,5.41,指数型-股票,-0.058284997529583014
159606,易方达中证500质量成长ETF行情,2023-07-25,0.813,5.41,指数型-股票,-0.05788644734205094
159607,嘉实中证海外中国互联网30ETF(QDII)行情,2023-06-28,0.771,19.71,QDII,0.11401360971418437
159607,嘉实中证海外中国互联网30ETF(QDII)行情,2023-06-29,0.757,19.71,QDII,0.0533966204317893
159607,嘉实中证海外中国互联网30ETF(QDII)行情,2023-06-30,0.748,19.71,QDII,0.01288200262490062
159607,嘉实中证海外中国互联网30ETF(QDII)行情,2023-07-03,0.772,19.71,QDII,-0.009950087683036644
159607,嘉实中证海外中国互联网30ETF(QDII)行情,2023-07-04,0.775,19.71,QDII,-0.03796172883472257
159607,嘉实中证海外中国互联网30ETF(QDII)行情,2023-07-05,0.766,19.71,QDII,-0.059460787936912535
