基金代码,基金简称,类型,2023-05-09-单位净值,2023-05-09-累计净值,2023-05-08-单位净值,2023-05-08-累计净值,增长值,增长率,市价,折价率
159730,博时国证龙头家电ETF行情,指数型-股票,0.8386,0.8386,0.8449,0.8449,-0.0063,-0.75%,0.8380,0.07%
159731,华夏中证石化产业ETF行情,指数型-股票,0.7294,0.7294,0.7394,0.7394,-0.0100,-1.35%,0.7300,-0.08%
159732,华夏国证消费电子主题ETF行情,指数型-股票,0.6279,0.6279,0.6275,0.6275,0.0004,0.06%,0.6310,-0.49%
159733,景顺中证消费电子ETF行情,指数型-股票,0.7211,0.7211,0.7259,0.7259,-0.0048,-0.66%,0.7230,-0.26%
159735,银华中证港股通消费主题ETF行情,指数型-股票,0.6085,0.6085,0.6235,0.6235,-0.0150,-2.41%,0.6090,-0.08%
159736,天弘中证食品饮料ETF行情,指数型-股票,0.9016,0.9016,0.9035,0.9035,-0.0019,-0.21%,0.9010,0.07%
159738,华泰柏瑞中证沪港深云计算产业ETF行情,指数型-股票,1.0283,1.0283,1.0352,1.0352,-0.0069,-0.67%,1.0250,0.32%
159739,鹏华中证云计算与大数据主题ETF行情,指数型-股票,1.0922,1.0922,1.0989,1.0989,-0.0067,-0.61%,1.0920,0.02%
159740,大成恒生科技ETF(QDII)行情,QDII,0.4963,0.4963,0.5106,0.5106,-0.0143,-2.80%,0.4990,-0.54%
159741,嘉实恒生科技ETF(QDII)行情,QDII,0.4950,0.4950,0.5093,0.5093,-0.0143,-2.81%,0.4970,-0.40%
159742,博时恒生科技ETF(QDII)行情,QDII,0.5047,0.5047,0.5193,0.5193,-0.0146,-2.81%,0.5060,-0.26%
159743,博时湖北新旧动能转换ETF行情,指数型-股票,0.8556,0.8556,0.8725,0.8725,-0.0169,-1.94%,0.8560,-0.05%
159745,国泰中证全指建筑材料ETF行情,指数型-股票,0.7476,0.7476,0.7489,0.7489,-0.0013,-0.17%,0.7470,0.08%
159747,南方中证香港科技ETF(QDII)行情,QDII,0.9816,0.4908,1.0126,0.5063,-0.0310,-3.06%,0.9830,-0.14%
159748,富国沪港深创新药产业ETF行情,指数型-股票,0.6774,0.6774,0.6950,0.6950,-0.0176,-2.53%,0.6780,-0.09%
159750,招商中证香港科技ETF(QDII)行情,QDII,0.7269,0.7269,0.7496,0.7496,-0.0227,-3.03%,0.7270,-0.01%
159751,鹏华中证港股通科技ETF行情,指数型-股票,0.6995,0.6995,0.7208,0.7208,-0.0213,-2.96%,0.6980,0.21%
159752,申万菱信中证内地新能源主题ETF行情,指数型-股票,0.6825,0.6825,0.6952,0.6952,-0.0127,-1.83%,0.6820,0.07%
159755,广发国证新能源车电池ETF行情,指数型-股票,---,---,0.8211,0.8211,---,---,0.8040,---
159757,景顺长城国证新能源车电池ETF行情,指数型-股票,0.6532,0.6532,0.6658,0.6658,-0.0126,-1.89%,0.6520,0.18%
159758,华夏中证红利质量ETF行情,指数型-股票,0.9438,0.9438,0.9521,0.9521,-0.0083,-0.87%,0.9440,-0.02%
159760,泰康国证公共卫生与健康ETF行情,指数型-股票,0.7237,0.7237,0.7330,0.7330,-0.0093,-1.27%,0.7240,-0.04%
159761,国泰中证新材料主题ETF行情,指数型-股票,0.6440,0.6440,0.6538,0.6538,-0.0098,-1.50%,0.6460,-0.31%
159763,建信中证新材料主题ETF行情,指数型-股票,0.6344,0.6344,0.6441,0.6441,-0.0097,-1.51%,0.6360,-0.25%
159766,富国中证旅游主题ETF行情,指数型-股票,0.9594,0.9594,0.9644,0.9644,-0.0050,-0.52%,0.9600,-0.06%
159767,兴银国证新能源车电池ETF行情,指数型-股票,0.6517,0.6517,0.6644,0.6644,-0.0127,-1.91%,0.6520,-0.05%
159768,银华中证内地地产主题ETF行情,指数型-股票,0.8237,0.8237,0.8196,0.8196,0.0041,0.50%,0.8220,0.21%
159769,银华中证消费电子主题ETF行情,指数型-股票,0.7369,0.7369,0.7418,0.7418,-0.0049,-0.66%,0.7360,0.12%
159770,天弘中证机器人ETF行情,指数型-股票,0.7961,0.7961,0.8069,0.8069,-0.0108,-1.34%,0.7960,0.01%
159773,华泰柏瑞创业板科技ETF行情,指数型-股票,0.7553,0.7553,0.7657,0.7657,-0.0104,-1.36%,0.7660,-1.42%
159775,建信国证新能源车电池ETF行情,指数型-股票,0.6813,0.6813,0.6941,0.6941,-0.0128,-1.84%,0.6810,0.04%
159776,银华中证港股通医药卫生综合ETF行情,指数型-股票,1.1244,1.1244,1.1619,1.1619,-0.0375,-3.23%,1.1200,0.39%
159777,国联安创业板科技ETF行情,指数型-股票,---,---,0.7414,0.7414,---,---,0.7320,---
159778,鹏华中证工业互联网主题ETF行情,指数型-股票,0.8294,0.8294,0.8344,0.8344,-0.0050,-0.60%,0.8300,-0.07%
159779,招商中证消费电子主题ETF行情,指数型-股票,0.6391,0.6391,0.6435,0.6435,-0.0044,-0.68%,0.6410,-0.30%
159780,南方中证科创创业50ETF行情,指数型-股票,0.5783,0.5783,0.5885,0.5885,-0.0102,-1.73%,0.5790,-0.12%
159781,易方达中证科创创业50ETF行情,指数型-股票,0.5740,0.5740,0.5842,0.5842,-0.0102,-1.75%,0.5750,-0.17%
159782,银华中证科创创业50ETF行情,指数型-股票,0.5761,0.5761,0.5861,0.5861,-0.0100,-1.71%,0.5770,-0.16%
159783,华夏中证科创创业50ETF行情,指数型-股票,0.5808,0.5808,0.5910,0.5910,-0.0102,-1.73%,0.5820,-0.21%
159786,银华中证虚拟现实主题ETF行情,指数型-股票,0.7635,0.7635,0.7679,0.7679,-0.0044,-0.57%,0.7630,0.07%
159787,易方达中证全指建筑材料ETF行情,指数型-股票,0.8290,0.8290,0.8305,0.8305,-0.0015,-0.18%,0.8290,0.00%
