date,open,close,high,low,volume,turnover,increase,increase_rate,increase_amount,exchange_rate,code
2018-11-09,22.95,23.0,23.26,22.64,27389,63154511.0,2.7,0.13,0.03,4.98,603348
2018-11-12,23.0,23.89,23.97,22.96,46935,110640008.0,4.39,3.87,0.89,8.53,603348
2018-11-13,24.45,24.53,25.0,24.0,92893,227972149.0,4.19,2.68,0.64,16.89,603348
2018-11-14,24.13,24.25,24.43,24.13,51039,123839586.0,1.22,-1.14,-0.28,9.28,603348
2018-11-15,24.03,25.3,25.46,24.03,111949,278408464.0,5.9,4.33,1.05,20.35,603348
2018-11-16,25.7,25.16,25.7,24.83,89231,223979215.0,3.44,-0.55,-0.14,16.22,603348
2018-11-19,25.01,24.82,25.14,24.51,44987,111467533.0,2.5,-1.35,-0.34,8.18,603348
2018-11-20,24.65,23.94,24.95,23.9,44777,109849686.0,4.23,-3.55,-0.88,8.14,603348
2018-11-21,23.68,23.87,23.87,23.29,35567,83954726.0,2.42,-0.29,-0.07,6.47,603348
2018-11-22,23.98,24.22,24.33,23.86,37289,89983368.0,1.97,1.47,0.35,6.78,603348
2018-11-23,24.18,22.11,24.47,22.0,50826,117074856.0,10.2,-8.71,-2.11,9.24,603348
2018-11-26,22.01,21.45,22.37,21.02,36816,79762847.0,6.11,-2.99,-0.66,6.69,603348
2018-11-27,21.6,21.65,21.87,21.33,19873,42928293.0,2.52,0.93,0.2,3.61,603348
2018-11-28,21.77,21.73,21.78,20.96,26493,56772494.0,3.79,0.37,0.08,4.82,603348
2018-11-29,21.91,20.64,22.12,20.61,33737,72007393.0,6.95,-5.02,-1.09,6.13,603348
2018-11-30,20.51,21.25,21.3,20.35,30602,63696458.0,4.6,2.96,0.61,5.56,603348
2018-12-03,21.99,22.27,22.8,21.77,48242,107111299.0,4.85,4.8,1.02,8.77,603348
2018-12-04,22.26,22.46,22.75,22.01,40252,90432586.0,3.32,0.85,0.19,7.32,603348
2018-12-05,21.75,21.76,22.19,21.7,32468,71076343.0,2.18,-3.12,-0.7,5.9,603348
2018-12-06,21.77,21.75,22.3,21.56,33720,74105230.0,3.4,-0.05,-0.01,6.13,603348
2018-12-07,21.9,21.69,21.95,21.55,19848,43122108.0,1.84,-0.28,-0.06,3.61,603348
2018-12-10,21.51,20.86,21.54,20.77,26145,55280423.0,3.55,-3.83,-0.83,4.75,603348
2018-12-11,21.09,21.14,21.27,20.91,18913,39914317.0,1.73,1.34,0.28,3.44,603348
2018-12-12,21.4,22.36,23.25,21.36,66901,149617068.0,8.94,5.77,1.22,12.16,603348
2018-12-13,21.86,22.28,22.39,21.86,47943,106308288.0,2.37,-0.36,-0.08,8.72,603348
2018-12-14,22.13,21.4,22.18,21.38,34151,74341647.0,3.59,-3.95,-0.88,6.21,603348
2018-12-17,21.6,22.57,22.59,21.52,58903,130473577.0,5.0,5.47,1.17,10.71,603348
2018-12-18,22.15,22.59,22.85,22.07,53029,119104407.0,3.46,0.09,0.02,9.64,603348
2018-12-19,22.31,21.91,22.65,21.83,36278,80520030.0,3.63,-3.01,-0.68,6.6,603348
2018-12-20,21.95,22.99,23.1,21.88,59382,133589286.0,5.57,4.93,1.08,10.8,603348
2018-12-21,22.8,23.55,23.79,22.67,87425,203873408.0,4.87,2.44,0.56,15.9,603348
2018-12-24,23.56,23.81,24.23,23.29,84067,199615361.0,3.99,1.1,0.26,15.28,603348
2018-12-25,23.2,23.28,23.47,22.22,67134,153832679.0,5.25,-2.23,-0.53,12.21,603348
2018-12-26,23.14,23.95,24.0,22.9,81877,193208489.0,4.73,2.88,0.67,14.89,603348
2018-12-27,24.25,22.88,24.38,22.87,61432,145070686.0,6.3,-4.47,-1.07,11.17,603348
2018-12-28,23.0,22.49,23.15,22.42,36444,82784455.0,3.19,-1.7,-0.39,6.63,603348
2019-01-02,22.61,21.83,22.74,21.5,36103,79266274.0,5.51,-2.93,-0.66,6.56,603348
2019-01-03,21.77,21.24,22.11,21.21,31128,67273819.0,4.12,-2.7,-0.59,5.66,603348
2019-01-04,21.1,21.7,21.77,20.8,29710,63787699.0,4.57,2.17,0.46,5.4,603348
2019-01-07,21.98,23.11,23.78,21.88,80787,185211511.0,8.76,6.5,1.41,14.69,603348
2019-01-08,23.0,23.36,23.65,22.8,76032,176574184.0,3.68,1.08,0.25,13.82,603348
2019-01-09,23.58,22.81,23.79,22.81,73664,171419206.0,4.2,-2.35,-0.55,13.39,603348
2019-01-10,23.17,22.96,23.17,22.77,41424,95023759.0,1.75,0.66,0.15,7.53,603348
2019-01-11,22.22,23.61,23.76,22.03,78721,180050902.0,7.53,2.83,0.65,14.31,603348
2019-01-14,23.4,22.85,23.55,22.8,44584,102941574.0,3.18,-3.22,-0.76,8.11,603348
2019-01-15,22.65,23.06,23.14,22.65,32381,74283065.0,2.14,0.92,0.21,5.89,603348
2019-01-16,23.1,23.05,23.43,22.67,41385,95394959.0,3.3,-0.04,-0.01,7.52,603348
